ADDRESS,RACKS,SPACES,COORDINATES/0,COORDINATES/1
333 BUSH ST,1,2,-122.403057,37.790592
333 VALENCIA ST,1,2,-122.42169002,37.76768496
3505 17TH ST,1,2,-122.424214,37.763009
360 18TH AVE,1,2,-122.476968,37.781271
3600 16TH ST,1,2,-122.433406,37.764391
430 09TH ST,1,2,-122.409791,37.771949
430 09TH ST,1,2,-122.409791,37.771949
4348 03RD ST,1,2,-122.38970207,37.73825175
445 CHURCH ST,1,2,-122.428205,37.763754
451 JUDAH ST,1,2,-122.467058,37.761889
480 05TH ST,1,2,-122.400857,37.777924
488 HAIGHT ST,1,2,-122.43026804,37.77235709
500 04TH ST,1,2,-122.398131,37.779293
519 HAYES ST,1,2,-122.425002,37.776434
563 02ND ST,1,2,-122.392461,37.782539
5843 GEARY BLVD,1,2,-122.482164,37.779935
595 02ND ST,1,2,-122.3921426,37.7822631
595 02ND ST,1,2,-122.3921426,37.7822631
65 09TH ST,1,2,-122.414948,37.77677
65 09TH ST,1,2,-122.414948,37.77677
700 HAIGHT ST,1,2,-122.433945,37.771879
720 YORK ST,1,2,-122.409203,37.759826
750 EDDY ST,1,2,-122.420049,37.783255
956 COLE ST,1,2,-122.44945099,37.76536883
985 VALENCIA ST,1,2,-122.42085,37.757224
100 MASONIC AVE,1,2,-122.446879,37.780685
100 MISSION ST,1,2,-122.394593,37.792536
100 SANSOME ST,1,2,-122.40045,37.7915
101 SPEAR ST,1,2,-122.39359,37.79277
1028 HOWARD ST,1,2,-122.407922,37.779469
1032 CLEMENT ST,1,2,-122.470532,37.78285
1040 FOLSOM ST,1,2,-122.406706,37.777956
106 POWELL ST,1,2,-122.407677,37.78577
110 SUTTER ST,1,2,-122.402697,37.790225
1122 TARAVAL ST,1,2,-122.478343,37.743181
1133 MISSION ST,1,2,-122.411516,37.77833
114 SANSOME ST,2,4,-122.40045,37.7915
115 SANSOME ST,1,2,-122.401038,37.791427
117 NEW MONTGOMERY ST,1,2,-122.399959,37.787247
1199 SOUTH VAN NESS AVE,1,2,-122.416072,37.754118
1201 FOLSOM ST,1,2,-122.41005,37.774668
121 COLLINGWOOD ST,1,2,-122.435758,37.76044234
1220 NOE ST,1,2,-122.432785,37.749363
1222 NORIEGA ST,1,2,-122.476992,37.754466
123 BATTERY ST,1,2,-122.400439,37.792602
123 MISSION ST,1,2,-122.394339,37.791882
126 NEW MONTGOMERY ST,1,2,-122.400427,37.787042
1261 HOWARD ST,1,2,-122.412145,37.775324
127 COLLINGWOOD ST,1,2,-122.435752,37.760375
1301 HOWARD ST,1,2,-122.413169,37.774637
1314 CASTRO ST,1,2,-122.434336,37.750996
1320 POTRERO AVE,1,2,-122.40647,37.751012
1320 SUTTER ST,1,2,-122.422309,37.787741
1325 HOWARD ST,1,2,-122.413397,37.774457
136 CHURCH ST,1,2,-122.42943,37.768723
1390 PACIFIC AVE,1,2,-122.418037,37.795648
1405 NORIEGA ST,1,2,-122.47888473,37.75389824
141 KEARNY ST,1,2,-122.404113,37.789471
1414 CALIFORNIA ST,1,2,-122.417704,37.791176
1414 VAN NESS AVE,1,2,-122.421555,37.788846
144 02ND ST,1,2,-122.399211,37.787209
15 SUTTER ST,1,2,-122.400783,37.790057
1500 CHURCH ST,1,2,-122.427243,37.746751
1501 FILLMORE ST,1,2,-122.433316,37.783481
1506 HAIGHT ST,1,2,-122.447179,37.769995
1509 CHURCH ST,1,2,-122.426666,37.746651
1525 MARKET ST,1,2,-122.418581,37.774862
1543 HAIGHT ST,1,2,-122.447668,37.769627
157 TOWNSEND ST,2,4,-122.391369,37.779252
1620 POLK ST,1,2,-122.420596,37.791912
1640 STOCKTON ST,1,2,-122.408941,37.80101
1640 VAN NESS AVE,1,2,-122.421999,37.791006
1653 MISSION ST,1,2,-122.419465,37.771414
1665 BRYANT ST,1,2,-122.41041327,37.76647646
1667 HAIGHT ST,1,2,-122.450051,37.769375
1686 15TH ST,1,2,-122.42175253,37.76681106
1688 BRYANT ST,1,2,-122.410555,37.765743
1695 MISSION ST,1,2,-122.419124,37.770494
1700 JACKSON ST,1,2,-122.423502,37.794021
1701 POWELL ST,1,2,-122.411171,37.800385
1750 NORIEGA ST,1,2,-122.482641,37.754273
1751 FULTON ST,1,2,-122.445541,37.775633
1810 CLEMENT ST,1,2,-122.478749,37.782312
1816 IRVING ST,1,2,-122.477486,37.763762
1871 HAYES ST,1,2,-122.447374,37.773644
2 HARRISON ST,1,2,-122.389757,37.789803
200 FOLSOM ST,1,2,-122.392299,37.789286
2001 VAN NESS AVE,1,2,-122.423346,37.794087
207 VALENCIA ST,1,2,-122.422059,37.76962
2086 MISSION ST,1,2,-122.419863,37.763744
2116 IRVING ST,1,2,-122.480677,37.76357
214 VAN NESS AVE,1,2,-122.419356,37.777692
2157 LOMBARD ST,1,2,-122.436911,37.799471
2164 POLK ST,1,2,-122.421644,37.796791
2166 HAYES ST,1,2,-122.451979,37.773482
2193 MARKET ST,1,2,-122.430669,37.765775
220 BUSH ST,1,2,-122.401307,37.791392
2200 CLEMENT ST,1,2,-122.48293,37.782357
2206 IRVING ST,1,2,-122.481705,37.76361
221 MAIN ST,1,2,-122.392214,37.790346
2221 CLEMENT ST,1,2,-122.483166,37.781851
2227 POLK ST,1,2,-122.4223,37.797249
2239 MARKET ST,1,2,-122.431409,37.765084
2240 CHESTNUT ST,1,2,-122.440145,37.800482
2242 LOMBARD ST,1,2,-122.438727,37.799833
2249 MARKET ST,1,2,-122.431892,37.765055
225 11TH ST,1,2,-122.414952,37.772938
225 BUSH ST,1,2,-122.401337,37.790937
2279 MARKET ST,1,2,-122.432199,37.764505
2300 IRVING ST,1,2,-122.48272,37.763563
2305 IRVING ST,1,2,-122.482642,37.763071
2319 MARKET ST,1,2,-122.433627,37.763344
2325 NORIEGA ST,1,2,-122.488793,37.753442
2348 CLEMENT ST,1,2,-122.484619,37.782279
2351 MARKET ST,1,2,-122.434057,37.763064
2400 IRVING ST,1,2,-122.483856,37.763513
243 KEARNY ST,1,2,-122.404201,37.790413
2448 CLEMENT ST,1,2,-122.485747,37.782227
245 11TH ST,1,2,-122.414667,37.77271
246 01ST ST,1,2,-122.395663,37.787733
248 FILLMORE ST,1,2,-122.430151,37.771931
2516 NORIEGA ST,1,2,-122.490726,37.753837
2550 IRVING ST,1,2,-122.485143,37.763432
2597 FOLSOM ST,1,2,-122.414403,37.755789
270 06TH ST,1,2,-122.406247,37.778623
270 MASONIC AVE,1,2,-122.446749,37.778919
2817 24TH ST,1,2,-122.408587,37.752632
286 NOE ST,1,2,-122.433415,37.764486
2876 CALIFORNIA ST,1,2,-122.441761,37.788163
2889 MISSION ST,1,2,-122.418055,37.750884
2909 MISSION ST,1,2,-122.417927,37.750448
2929 24TH ST,1,2,-122.410625,37.752477
295 DIVISADERO ST,1,2,-122.437516,37.772028
2966 24TH ST,1,2,-122.411477,37.752885
2981 24TH ST,1,2,-122.411514,37.752424
3013 24TH ST,1,2,-122.412221,37.752455
3017 MISSION ST,1,2,-122.41772,37.748833
3033 24TH ST,1,2,-122.412567,37.752399
3080 16TH ST,1,2,-122.421596,37.765176
3101 MISSION ST,1,2,-122.41817051,37.74785345
3117 16TH ST,1,2,-122.422415,37.764623
312 MASON ST,1,2,-122.409517,37.7865
3122 16TH ST,1,2,-122.422612,37.765125
3130 FILLMORE ST,1,2,-122.435534,37.798611
3141 16TH ST,1,2,-122.422973,37.764631
3141 17TH ST,1,2,-122.416029,37.763414
3154 17TH ST,1,2,-122.416461,37.76384
3160 MISSION ST,2,4,-122.419544,37.746674
3190 21ST ST,1,2,-122.418605,37.757258
320 10TH ST,1,2,-122.412622,37.772327
3250 MISSION ST,1,2,-122.420795,37.744873
3274 21ST ST,1,2,-122.420517,37.757142
33 GOUGH ST,1,2,-122.421271,37.772055
3329 24TH ST,1,2,-122.419119,37.751967
333 11TH ST,1,2,-122.413241,37.771491
3376 22ND ST,1,2,-122.42257142,37.75545192
3388 17TH ST,1,2,-122.421036,37.763577
340 MASON ST,1,2,-122.409656,37.786968
3400 CALIFORNIA ST,1,2,-122.450415,37.786961
3401 IRVING ST,1,2,-122.494431,37.762551
3409 23RD ST,1,2,-122.421073,37.753485
342 DIVISADERO ST,1,2,-122.437032,37.772847
345 WEST PORTAL AVE,1,2,-122.469528,37.737186
350 PACIFIC AVE,1,2,-122.401623,37.797818
36 02ND ST,2,4,-122.400958,37.788587
3602 20TH ST,1,2,-122.42160813,37.75870599
369 PINE ST,1,2,-122.401984,37.791722
375 11TH ST,1,2,-122.412604,37.771079
381 GUERRERO ST,1,2,-122.42389,37.765151
39 NEW MONTGOMERY ST,1,2,-122.400955,37.788227
3940 JUDAH ST,1,2,-122.504582,37.760629
395 SOUTH VAN NESS AVE,1,2,-122.417356,37.767014
4000 GEARY BLVD,1,2,-122.462337,37.781349
